Video_ID,Audio_ID,Jaccard_Similarity
1,45,0.4806451612903226
2,1,0.3851851851851852
3,40,0.32919254658385094
4,18,0.36180904522613067
5,19,0.5355648535564853
6,31,0.2564102564102564
7,14,0.3532608695652174
8,38,0.3728813559322034
9,44,0.30456852791878175
10,23,0.1793478260869565
11,20,0.49808429118773945
12,24,0.20224719101123595
13,6,0.30454545454545456
14,13,0.3644067796610169
15,30,0.46568627450980393
16,2,0.46320346320346323
17,5,0.2865853658536585
18,16,0.2826086956521739
19,39,0.32275132275132273
20,3,0.4129032258064516
21,4,0.2988505747126437
22,41,0.3643724696356275
23,42,0.25252525252525254
24,11,0.5085910652920962
25,28,0.2046783625730994
26,21,0.2684563758389262
27,33,0.22131147540983606
28,12,0.2640449438202247
29,37,0.26344086021505375
30,29,0.5159574468085106
31,32,0.4856115107913669
32,8,0.2638888888888889
33,43,0.3333333333333333
34,17,0.35106382978723405
35,26,0.2896551724137931
36,9,0.46261682242990654
37,7,0.2971698113207547
38,15,0.26907630522088355
39,25,0.16042780748663102
40,27,0.32222222222222224
41,34,0.33513513513513515
42,10,0.34054054054054056
43,35,0.5
44,36,0.48632218844984804
45,22,0.3694581280788177
